iter	RMSE
0	39350305.86
1	38498819.09
2	37546178.61
3	36739704.5
4	35930184.48
5	35182088.7
6	34499830.15
7	33889591.81
8	33119853.04
9	32510007.78
10	31919974.34
11	31380864.79
12	30860182.97
13	30383939.55
14	29914656.56
15	29348591.75
16	28828639.11
17	28346059.49
18	27873000.08
19	27357872.54
20	26790148.99
21	26484817.55
22	26081111.6
23	25726080.52
24	25197730.2
25	24894899.29
26	24456642.45
27	24148638
28	23849565.97
29	23432863.17
30	23139365.93
31	22868024.89
32	22506720.47
33	22160455.62
34	21797258.39
35	21462336.3
36	21152754.87
37	20950569.81
38	20765835.05
39	20480515.61
40	20199190.44
41	20037704.6
42	19775598.89
43	19589753.8
44	19407438.27
45	19245303.26
46	19073835.71
47	18801558.44
48	18634951.69
49	18503215.36
50	18337430.64
51	18189625.21
52	18099274.26
53	17979807.26
54	17858856.47
55	17714030.43
56	17516475.6
57	17404942.01
58	17253123.81
59	17170205.89
60	17074809.93
61	16985962.15
62	16862883.22
63	16703587.33
64	16610353.5
65	16552105.13
66	16440339.42
67	16384760.05
68	16329142.59
69	16274395.36
70	16165535.29
71	16081098.15
72	15933308.77
73	15841428.18
74	15684931.46
75	15603599.71
76	15507386.29
77	15412009.46
78	15397683.53
79	15307649.81
80	15167610.78
81	15113861.43
82	15070418.98
83	14982284.37
84	14948356.32
85	14864902.81
86	14797321.61
87	14661010.52
88	14628324.64
89	14555347.55
90	14508917.61
91	14474903.65
92	14402705.99
93	14311278.58
94	14286736.72
95	14188624.75
96	14126890.83
97	14019153.69
98	13944627.28
99	13887552.58
100	13863237.99
101	13790289.96
102	13771588.67
103	13751489.54
104	13661884.72
105	13638338.22
106	13608803.73
107	13532477.25
108	13459713.98
109	13426125.94
110	13392826.67
111	13339862.75
112	13257056.97
113	13200967.41
114	13167200.69
115	13143290.95
116	13079542.32
117	13052137.34
118	13012087.93
119	12965806.44
120	12913323.05
121	12831104.51
122	12775491.62
123	12718001.11
124	12699856.76
125	12618731.62
126	12591468.4
127	12559241.06
128	12547443.73
129	12517833.57
130	12479146.92
131	12432969.73
132	12360732.5
133	12299927.75
134	12263531.5
135	12213932.61
136	12176237.8
137	12117970.47
138	12074430.01
139	12056100.36
140	12036634.07
141	12020657.32
142	11973557.72
143	11956364.72
144	11929989.74
145	11890899.28
146	11864384.33
147	11817868.56
148	11782345.69
149	11732967.49
150	11705877.99
151	11673234.7
152	11640052.84
153	11586200.06
154	11556393.04
155	11517222.15
156	11489750.26
157	11453153.27
158	11432808.07
159	11406448.21
160	11388638.05
161	11344077
162	11319575.2
163	11279186.44
164	11249939.63
165	11223146.55
166	11199427.27
167	11191364.64
168	11131934.97
169	11115136.76
170	11094125.25
171	11078427.93
172	11050473.12
173	10994966.73
174	10970220.28
175	10904936.28
176	10864143.11
177	10840227.78
178	10797156.5
179	10777852.42
180	10738853.63
181	10723604.56
182	10681574.62
183	10649303.24
184	10624803.7
185	10605995.86
186	10595967.77
187	10565905.76
188	10550723.69
189	10510140.31
190	10483234.14
191	10447586.64
192	10409400.13
193	10381883.83
194	10363285.07
195	10349072.88
196	10306453.83
197	10263711.34
198	10246228.57
199	10222630.58
200	10194641.74
201	10168245.27
