iter	Passed	Remaining
0	1	1520
1	2	1031
2	2	850
3	3	758
4	3	695
5	3	648
6	4	648
7	5	628
8	5	628
9	6	630
10	7	639
11	7	624
12	8	620
13	8	608
14	9	602
15	9	599
16	10	591
17	10	587
18	11	584
19	11	582
20	12	578
21	12	572
22	13	570
23	13	566
24	14	563
25	14	559
26	15	558
27	16	557
28	16	553
29	17	550
30	17	548
31	18	565
32	19	561
33	19	558
34	20	556
35	20	552
36	21	551
37	21	548
38	22	546
39	22	544
40	23	542
41	23	542
42	24	540
43	24	538
44	25	536
45	25	535
46	26	534
47	26	532
48	27	534
49	28	534
50	28	534
51	29	533
52	29	533
53	30	531
54	30	529
55	31	530
56	32	532
57	32	531
58	33	529
59	33	528
60	34	528
61	34	527
62	35	526
63	35	526
64	36	524
65	37	524
66	37	524
67	38	524
68	38	523
69	39	522
70	39	522
71	40	521
72	41	520
73	41	518
74	41	517
75	42	516
76	42	514
77	43	513
78	43	511
79	44	510
80	44	509
81	45	511
82	46	509
83	46	511
84	47	510
85	47	508
86	48	508
87	48	506
88	49	506
89	50	505
90	50	504
91	51	503
92	51	502
93	52	502
94	52	501
95	53	500
96	53	500
97	54	500
98	54	500
99	55	499
100	55	498
101	56	497
102	57	496
103	57	496
104	58	494
105	58	494
106	59	493
107	59	492
108	60	491
109	60	490
110	61	489
111	61	489
112	62	488
113	62	488
114	63	487
115	63	486
116	64	486
117	64	485
118	65	484
119	65	483
120	66	482
121	66	481
122	67	480
123	68	485
124	69	484
125	69	484
126	70	483
127	70	482
128	71	481
129	71	480
130	72	479
131	72	479
132	73	478
133	73	477
134	74	477
135	74	476
136	75	475
137	76	474
138	77	478
139	77	477
140	78	477
141	79	477
142	79	476
143	80	475
144	80	474
145	80	473
146	81	472
147	82	472
148	82	471
149	83	470
150	83	470
151	84	470
152	84	469
153	85	469
154	85	468
155	86	468
156	87	467
157	87	466
158	87	465
159	88	464
160	88	463
161	89	462
162	89	461
163	90	461
164	90	460
165	91	459
166	92	459
167	92	458
168	93	458
169	93	457
170	94	456
171	94	456
172	95	455
173	95	454
174	96	453
175	97	456
176	97	455
177	98	454
178	99	454
179	99	453
180	100	453
181	100	452
182	101	451
183	101	451
184	102	450
185	102	449
186	103	449
187	103	448
188	104	449
189	105	448
190	105	447
191	106	447
192	106	446
193	107	445
194	107	445
195	108	444
196	108	443
197	109	443
198	110	443
199	110	442
200	111	441
201	111	441
202	112	440
203	112	439
204	113	438
205	113	437
206	114	437
207	114	436
208	115	436
209	115	435
210	116	434
211	116	434
212	117	433
213	117	433
214	118	432
215	119	432
216	119	431
217	120	430
218	120	430
219	121	429
220	121	428
221	122	428
222	123	429
223	123	428
224	124	427
225	124	427
226	125	426
227	125	425
228	126	425
229	126	424
230	127	423
231	127	423
232	128	422
233	128	422
234	129	421
235	129	420
236	130	419
237	130	419
238	131	419
239	132	418
240	132	417
241	133	417
242	133	416
243	134	415
244	134	415
245	135	414
246	135	413
247	136	413
248	136	412
249	137	411
250	137	411
251	138	410
252	138	409
253	139	408
254	139	407
255	140	407
256	141	409
257	142	408
258	142	407
259	142	406
260	143	406
261	143	405
262	144	404
263	144	404
264	145	403
265	145	402
266	146	401
267	146	401
268	147	400
269	147	399
270	148	399
271	149	399
272	149	398
273	150	397
274	150	397
275	151	396
276	151	395
277	152	395
278	152	394
279	153	394
280	154	394
281	154	393
282	155	393
283	155	392
284	156	391
285	156	391
286	157	390
287	157	390
288	158	389
289	158	388
290	159	387
291	159	387
292	160	386
293	160	386
294	161	385
295	161	384
296	162	384
297	162	383
298	164	384
299	164	384
300	165	383
301	165	382
302	166	382
303	166	381
304	167	380
305	168	381
306	168	381
307	169	380
308	170	380
309	170	379
310	171	379
311	171	378
312	172	378
313	172	377
314	173	377
315	174	376
316	174	375
317	174	375
318	175	374
319	175	373
320	176	373
321	177	372
322	177	372
323	178	371
324	178	371
325	179	370
326	179	370
327	180	369
328	180	368
329	181	368
330	181	367
331	182	367
332	183	366
333	183	366
334	184	365
335	184	365
336	185	364
337	185	364
338	186	363
339	186	362
340	187	362
341	188	361
342	188	361
343	189	360
344	189	360
345	190	359
346	190	359
347	191	358
348	191	357
349	192	357
350	192	356
351	193	356
352	194	355
353	194	355
354	195	354
355	195	353
356	196	353
357	196	352
358	197	351
359	197	351
360	198	350
361	198	350
362	199	349
363	199	349
364	200	348
365	200	348
366	201	347
367	201	346
368	202	346
369	203	345
370	203	345
371	204	344
372	204	344
373	205	343
374	205	342
375	206	342
376	206	341
377	207	341
378	207	340
379	208	339
380	208	339
381	209	338
382	209	337
383	210	337
384	210	336
385	211	336
386	211	335
387	212	334
388	212	334
389	213	333
390	214	333
391	214	332
392	215	332
393	215	331
394	216	331
395	216	330
396	217	330
397	217	329
398	218	329
399	219	328
400	219	328
401	220	327
402	220	326
403	221	326
404	221	325
405	222	324
406	222	324
407	223	323
408	223	323
409	224	322
410	224	322
411	225	321
412	226	321
413	226	320
414	227	320
415	227	319
416	228	319
417	228	318
418	229	317
419	229	317
420	230	316
421	230	316
422	231	315
423	231	315
424	233	315
425	233	314
426	234	314
427	234	313
428	235	313
429	235	312
430	236	312
431	236	311
432	237	310
433	237	310
434	238	309
435	238	308
436	239	308
437	239	307
438	240	307
439	240	306
440	241	306
441	242	305
442	242	305
443	243	304
444	243	304
445	244	303
446	244	302
447	245	302
448	245	301
449	246	301
450	247	300
451	247	300
452	248	299
453	248	299
454	249	298
455	249	297
456	250	297
457	250	296
458	251	296
459	251	295
460	252	295
461	253	294
462	253	294
463	254	293
464	254	293
465	255	293
466	256	292
467	256	292
468	257	291
469	258	291
470	259	291
471	260	291
472	261	290
473	261	290
474	262	290
475	263	289
476	264	289
477	264	289
478	265	288
479	265	288
480	266	287
481	267	287
482	267	286
483	268	286
484	268	285
485	269	284
486	269	284
487	270	283
488	270	283
489	271	282
490	272	282
491	272	281
492	273	280
493	273	280
494	274	279
495	274	279
496	275	278
497	275	278
498	276	277
499	276	276
500	277	276
501	277	275
502	278	275
503	279	274
504	279	274
505	280	274
506	281	273
507	282	273
508	282	272
509	283	272
510	283	271
511	284	271
